title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
Love in the Moonlight,7.8,"Comedy,Drama,History",5.2K,The unlikely love story between a crown prince and his eunuch.,,Park Bo-gum,Kim Yoo-jung,2016,2016,"['Min-Jung Kim', 'Im Ye-Jin', 'Yoon Yi-Soo']",['Kim Seong-yoon'],tt5575678,60,"https://m.media-amazon.com/images/M/MV5BNjMxN2M2YTUtMmM0MS00MzVlLTgzODQtMjE5M2VkYjJjMTg0XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Island,7.0,"Action,Adventure,Drama",3.7K,"Won Mi Ho's arrogant and selfish attitude causes her father banishing her to Jeju island. Unbeknownst to her, the island is where evil roams free.",,Kim Nam-gil,Lee Da-hee,2022,\N,"['Oh Bo-hyun', 'Yoon In-Wan', 'Yoon-Mi Jang']",['Kwang-Hyun Park'],tt14166656,55,"https://m.media-amazon.com/images/M/MV5BYmI4OWNhNWQtYmUxOC00NjJkLTg4YTQtMmU1Yzg5YzI4ZjYzXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Dynamite Kiss,,,,"A single woman who disguises herself as a married mom to get a job, and the team leader of a baby products company who falls in love with her.",,,,,,"['nm17695119', 'Ha Yoon-Ah']",['Kim Jae-hyun'],tt38353551,,"https://m.media-amazon.com/images/M/MV5BOGI1Y2MyZWUtNTlmYy00MjRmLWFjNjktM2YyNjI1MmE4ZTA3XkEyXkFqcGc@._V1_QL75_UY266_CR43,0,180,266_.jpg"
Sisyphus: The Myth,7.0,"Action,Drama,Fantasy",5.9K,"An unfathomable incident introduces a genius engineer to dangerous secrets of the world, and to a woman from the future who's come looking for him.",Not Rated,Cho Seung-woo,Park Shin-hye,2021,2021,"['Jeon Chan-Ho', 'Lee Je-In']",['Jin Hyuk'],tt13715448,70,"https://m.media-amazon.com/images/M/MV5BNzgxOWEwNjUtZWVmNS00MzczLWE1NjItNDEzN2Y4MWFiMzdlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Veil,7.8,"Action,Crime,Drama",2.2K,"A spy investigation show with a story about a top National Intelligence Service (NIS) agent. In his endeavor to uncover the internal traitor that brought him to his downfall, he confronts a much bigger enemy behind the organization.",,Min Nam-koong,Park Ha-seon,2021,2021,['Park Seok-Ho'],['Kim Sung-yong'],tt14482296,70,"https://m.media-amazon.com/images/M/MV5BMGJlNDZhNDMtNDExNy00NWNmLTk5NjAtNTU4MjViOGM0OGRiXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Judge from Hell,7.8,"Crime,Drama,Fantasy",4.4K,"Kang Bit Na, an elite judge with a beautiful appearance, is a demon whose mission is to punish those who have wronged others and send them to Hell. However, the righteous Detective Han Da On is determined to change her ways.",,Park Shin-hye,Kim Jae-young,2024,2024,['Cho I Su'],['Park Jin-Pyo'],tt33255143,70,"https://m.media-amazon.com/images/M/MV5BZmMyNmJjN2ItN2U3Ni00YWVmLWJiYTgtZGJjYWYxZTAyZTAxXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Record of Youth,7.2,"Drama,Romance",4.3K,Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.,TV-14,Park Bo-gum,Park So-dam,2020,2020,['Myung Hee Ha'],['Ahn Gil-ho'],tt12850322,70,"https://m.media-amazon.com/images/M/MV5BNzIzMTAyYTgtYWY4NC00YjA5LTgxMTktMDU3OTM0ZTJjN2NkXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Shin's Project,7.5,,161,CEO Sin is a character who runs a fried chicken restaurant in a small town while keeping a secret hidden behind a veil and clashes with villains with his 'verbal skills' and body.,,,,,,['Ban Ki-Ri'],['nm17730256'],tt37812765,,"https://m.media-amazon.com/images/M/MV5BNTYxYzI1NjMtYTU0ZC00ZjQyLTk3ZDQtNjc5YmQzMjJkY2Q2XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Noblewoman,7.7,"Drama,Romance",20,"Born to a single mom working as a maid, Shin Ae gives up her studies to work as a salesperson in a department store. Mi Na is the only daughter and heiress of the family who owns the department store and secretly envies Shin Ae for her inborn confidence. Shin Ae has a crush on Jung Min, a manager at the store she works in. Smart and capable, Jung Min is involved in a secret relationship with Mi Na. However, Mi Na's parents disapprove of Jung Min's ordinary background. When Shin Ae finds out that Jung Min and Mi Na are a couple, she is greatly disappointed. This is when a clumsy but lovable young man named Yeong Min meets Shin Ae. The two find comfort in each other and end up getting married. However, their happiness is cut short when Yeong Min and his parents die in a plane crash. Shin Ae is devastated by the sudden loss in the early days of her marriage. However, there is an unexpected twist, Yeong Min's father had actually been a huge investor and major shareholder in the department store. Shin Ae inherits the wealth that she had always dreamed of. Shin Ae, who had only been able to dream about becoming rich, is now indisputably part of the upper class. Her changed status does not bring her true happiness. Unable to accept that Shin Ae has risen to her status, Mi Na hatches a scheme against her, creating conflict and conspiracy over the ownership of the department store. Meanwhile, Shin Ae continues to have feelings for Jung Min. This drama is an epic tale of love and competition between two high school classmates from completely different worlds, each trying to become a truly noble lady.",,Seo Ji-hye,Park Jung-ah,2014,2014,['\\N'],['\\N'],tt5478726,\N,"https://m.media-amazon.com/images/M/MV5BMzI5ZjViNmQtNzFlOS00MzJiLWJkMmItN2FiMjc0YzUzODVmXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg"
Save Me,7.8,"Drama,Mystery,Thriller",2.5K,A young girl coming to a small town with her family. And through tragic events getting involved with a religious cult.,TV-14,Jo Jae-yoon,Jo Jae-yoon,2017,2019,['Edo Jeong'],"['Kim Seong-soo', 'Kwon Lee']",tt7020532,60,"https://m.media-amazon.com/images/M/MV5BOTgxMmNmY2YtODQzOC00ODkyLThlMzEtNGYwODIyOTFlNTc5XkEyXkFqcGc@._V1_QL75_UX180_CR0,3,180,266_.jpg"
"Love, Take Two",7.7,,195,"A 43-year-old single mom and her 23-year-old, medical student daughter starting a new chapter in their lives by heading off to the countryside, encountering people along the way who teach them meaningful lessons about life.",,,,,,['nm17730010'],"['Je Won Yu', 'Ham Seung-hoon']",tt37536325,,"https://m.media-amazon.com/images/M/MV5BMjBlYmYwMTUtZjhhNy00MmMyLTk3NDItMmViMTRjZDE3YjU0XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Run On,7.3,"Drama,Romance",6.4K,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life",TV-MA,Yim Si-wan,Shin Sae-Kyeong,2020,2021,['Park Shi-Hyun'],['Lee Jae-hoon'],tt13271834,70,"https://m.media-amazon.com/images/M/MV5BMWI4YjkwMWItMTgzOS00OGE1LTgyMWUtNTgwYzVkNjk0YzM2XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Extraordinary You,7.8,"Comedy,Fantasy,Romance",7.1K,The story of a girl who finds out that she is in fact a supporting character in a web comic and decides to change her fate.,,Kim Hye-yoon,Kim Ro-Woon,2019,2019,['Muryu'],['Sang-hyub Kim'],tt10826102,35,"https://m.media-amazon.com/images/M/MV5BNzQwYzViZjYtOWEwNS00ZTcyLWE2MTYtM2FiYzkyZmIzMjI3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Youth of May,8.3,"Drama,History,Romance",3.1K,"In May, 1980, during the turbulent times of the Gwangju Uprising, Hee-Tae and Myung-Hee fall in love. Their love seems destined by fate.",,Lee Do-hyun,Go Min-si,2021,2021,['Kang Lee'],['Song Min-Yeob'],tt14166666,65,"https://m.media-amazon.com/images/M/MV5BYWI5M2U0ZDQtMGQzMi00MDU4LWE1ZGMtZTcwN2FlNzMzOWI2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
The Echoes of Survivors: Inside Korea's Tragedies,7.4,Documentary,314,"Showcases the tales of those who survived Korea's darkest chapters, shining a light on hidden truths.",,,,\N,\N,['\\N'],"['Leah Patterson', 'Jo Seong-Hyeon']",tt35677317,\N,"https://m.media-amazon.com/images/M/MV5BOGQxMjVhNzUtZTY4Zi00ZTFhLWJkNmMtNzQ2OTkyY2ZmNmMzXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Jirisan,7.4,"Action,Drama,Mystery",1.7K,"Set against the backdrop of towering views of Mount Jiri, it depicts the story of rangers and other employees of the Jirisan National Park who climb through the mysterious and unexplored regions of the mountain.",,Ju Ji-hoon,Jun Ji-hyun,2021,2021,['Kim Eun-hee'],['Lee Eung-bok'],tt13400300,\N,"https://m.media-amazon.com/images/M/MV5BYWUxZDFhODktYjM4Mi00NWI1LTgyYmQtMDk2ZjYxNjcyMTE2XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Doom at Your Service,7.8,"Drama,Fantasy,Romance",11K,"Tak Dong Kyung lives a fairly ordinary life until she stumbles into an unexpected fate and ends up signing a hundred-day contract with Myul Mang, risking her everything.",TV-14,Park Bo-young,Seo In-guk,2021,2021,['Im Mea Ri'],['Young Il Kwon'],tt13669128,65,"https://m.media-amazon.com/images/M/MV5BMDhlN2U3YjUtNmI3Zi00Njk0LWJmMTctYjFhYTY2Y2RiN2NhXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Perfect Marriage Revenge,7.8,"Drama,Fantasy,Romance",2.8K,"The story of Han Yi-joo, who chose a contract marriage to avenge her husband and family, and Seo Do-gook who postpones a contract marriage to welcome her as his wife.",,Jung Yoo-min,Sung Hoon,2023,2023,"['Jerry Ball', 'Beombae Lee', 'Young']",['Sang Won Oh'],tt29657033,70,"https://m.media-amazon.com/images/M/MV5BOTA3M2IwNzQtNjE3YS00ZDViLWI3ZTEtMjU3NmJkNDMxYjJlXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Blood Free,7.1,"Drama,Sci-Fi,Thriller",784,"After millions of years, humans consuming animal meat, BF now dominates the market for genetically engineered cultured meat. There are people inside and outside BF who starting to have doubts about the path taken by BF's CEO.",TV-MA,Han Hyo-joo,Ju Ji-hoon,2024,\N,['Lee Soo-Yeon'],['Park Chul-Hwan'],tt27789542,50,"https://m.media-amazon.com/images/M/MV5BZGUzYTQ4YjAtZmU1Yy00ZWM3LWI1MDYtY2M1NzJiNGE2NjAyXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Crash Course in Romance,7.7,"Comedy,Drama,Romance",6.2K,Retired national team female handball player has become a Banchan take-out store owner in order to look after her family while she grapples with her daughter's tutor's many quirks.,TV-14,Jeon Do-yeon,Jung Kyung-ho,2023,2023,['Yang Hee Seung'],['Je Won Yu'],tt24578016,75,"https://m.media-amazon.com/images/M/MV5BZGE1ODM5MjktMGY0MS00NjA4LWFiOWItN2ZhZTYzN2RmNmM2XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Reborn Rich,8.1,"Drama,Fantasy,Romance",5.5K,"After ten years, a loyal employee is framed for embezzlement, then murdered by his employers, only to be reborn as their youngest son with a yearning for revenge guiding his hostile takeover.",,Song Joong-ki,Song Joong-ki,2022,2022,"['Jang Eun-jae', 'Kim Tae-hee']","['Dae Yoon Jung', 'Kim Sang-ho']",tt18352538,71,"https://m.media-amazon.com/images/M/MV5BYzlhNGU0NGQtNmYzMi00MzdjLTlkMzgtNTAzM2NhYTlhMzdhXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Prison Playbook,8.4,"Comedy,Drama",6K,"Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox.",,Park Hae-soo,Jung Kyung-ho,2017,2018,['Bo-Hoon Jung'],['Shin Won-ho'],tt7622902,90,"https://m.media-amazon.com/images/M/MV5BZDY0NzM1YTAtNDQ0NC00YTI1LTg5NzctMzcwNDMzOGEzODVmXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Welcome to Waikiki,8.2,"Comedy,Drama",4.5K,"With big dreams of financing their own film project, three struggling young men join forces in a guesthouse venture that is anything but profitable.",,Lee Yi-kyeong,Kim Jung-hyun,2018,2019,['Kim Ki-ho'],['Chang-min Lee'],tt7890304,65,"https://m.media-amazon.com/images/M/MV5BYjY3MmRhZjQtMzUxNS00ZTA3LTkwZGEtMTFmYjgwOGIwYTQ1XkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Heartbeat,7.0,"Comedy,Fantasy,Romance",2.5K,"A romance drama about a semi-human vampire named Seon Woo-hyeol, who failed to become a human by a day out of 100 years, and a woman Joo In-hae, who doesn't have a single human decency, starting to live together and finding true warmth.",13+,Taecyeon,Won Ji-an,2023,\N,['\\N'],['Hyun-Suk Lee'],tt26085372,\N,"https://m.media-amazon.com/images/M/MV5BM2JlZjdhMDMtNTc1ZC00ODJmLTkzNTItOTQ1YTc3MzhlNmFlXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Wedding Impossible,6.9,"Comedy,Drama,Romance",1.4K,"Na Ah Jeong enters a contractual marriage with her friend Lee Do Han, heir to the chaebol LJ Group, to conceal a secret from his family. Complications arise when Do Han's brother Lee Ji Han opposes their arrangement.",,Jeon Jong-seo,Jeon Jong-seo,2024,2024,"['Song Jeongwon', 'Park Seulgi']",['Young Il Kwon'],tt30301176,\N,"https://m.media-amazon.com/images/M/MV5BN2FhYTY2YTktY2ZkNy00YmUxLWJlNjgtOWMzYzY1YWNkOWI2XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Glitch,6.6,"Comedy,Mystery,Sci-Fi",2K,"Hong Ji Hyo's boyfriend disappears with an unidentified light. Since then, Hong Ji Hyo traces her boyfriend's whereabouts. With the help of a UFO club members, she approaches a mysterious secret.",TV-MA,Jeon Yeo-been,Im Jin-ah,2022,2022,['Jin Han-sae'],['Deok Noh'],tt14735382,60,"https://m.media-amazon.com/images/M/MV5BMzg3YWI3MGItZGJlZC00MDMxLThiYzQtYzdiOWNjM2M3ODIyXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Friendly Rivalry,7.7,"Action,Mystery,Thriller",5.9K,A gripping teen mystery thriller that centers on the intense bond between teenage girls as they navigate a brutal survival competition even more challenging than the entrance exam.,,Lee Hyeri,Chung Su-Bin,2025,\N,"['Song Chae-yoon', 'Min Ye-ji']",['\\N'],tt35683421,30,"https://m.media-amazon.com/images/M/MV5BOGZlYzM3YjgtMjI3OC00MDc5LWE3ZjAtNDdiMmE1OGY0MWUzXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The First Responders,8.1,"Action,Adventure,Drama",1.8K,An action drama about first responders involving the police and firefighters who work together in emergency situations to fight against crime and fire.,TV-MA,Kim Rae-won,Son Ho-joon,2022,\N,['\\N'],['\\N'],tt23635250,60,"https://m.media-amazon.com/images/M/MV5BNWQzZjExZDctZjkzMy00YjFjLWE3ZmYtMjQ3Njg2NGJkNjM3XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Parasyte: The Grey,7.1,"Action,Horror,Sci-Fi",16K,A group of humans wage war against the rising evil of unidentified parasitic life-forms that live off of human hosts and strive to grow their power,TV-MA,Jeon So-nee,Koo Kyo-hwan,2024,\N,"['Hitoshi Iwaaki', 'Yeon Sang-ho', 'Ryu Yong-jae']",['Yeon Sang-ho'],tt21874396,61,"https://m.media-amazon.com/images/M/MV5BNDYwNWNmNzUtNmY1Yy00ZDliLThjYTQtYTFhMDE4NWI4YTM4XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Black Knight,6.4,"Action,Adventure,Sci-Fi",8.9K,"In 2071, toxic air pollution has devastated the world, leaving society reliant on drivers known as Knights for necessities. When a revered Knight meets a young refugee determined to join the ranks, he agrees to help him achieve his dream.",TV-MA,Kim Woo-bin,Song Seung-heon,2023,\N,"['Yun-Gyun Lee', 'Jo Ui-seok', 'Ui Seok Cho']","['Kate Marley', 'Ui Seok Cho']",tt17013106,45,"https://m.media-amazon.com/images/M/MV5BYjRhMDYyZjItYWJkZC00ZWI0LWE5NzMtYmM4MDQ0MTE3MDZlXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Hometown,6.0,"Horror,Mystery,Thriller",534,A mystery evil thriller which finds the truth of a recording tape containing mysterious serial killings and unidentified sounds in a small city.,,Um Tae-goo,Yoo Jae-myung,2021,2021,['Joo Jin'],['Park Hyun Suk'],tt14687370,60,"https://m.media-amazon.com/images/M/MV5BNDc3NTdjOWMtNzkzYi00ZThkLTlmODQtOTM1ZmM0ZGEzNDJiXkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Yumi's Cells,8.1,"Comedy,Drama,Romance",3.2K,"The story of an ordinary office worker named Yumi-from the point of view of the many brain cells in her head controlling her every thought, feeling, and action.",TV-PG,Kim Go-eun,Kim Go-eun,2021,\N,"['Dong Gun Lee', 'Yoon-joo Kim', 'Kim Kyung-Ran', 'Jae-Jeong Song']",['Sang-Yeob Lee'],tt14596630,70,"https://m.media-amazon.com/images/M/MV5BYmU0ZDFjODMtNmJhNi00NmUzLThmZjMtNTAwMWExOGFjZGU0XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
A Good Day to Be a Dog,7.2,"Comedy,Fantasy,Romance",2.6K,"An unpredictable fantasy romance between a woman living under a curse that causes her to turn into a dog when kissed, and the only one who can help her overcome the curse is a man who is afraid of dogs.",,Cha Eun-woo,Park Gyuyoung,2023,\N,['\\N'],['Dae-Woong Kim'],tt29006388,\N,"https://m.media-amazon.com/images/M/MV5BMTAwMmRlNGYtNDlmNC00NGQwLTliZGYtMDIyMzA1ZmM4MzNhXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Return to the Palace,7.6,"Drama,Fantasy,Romance",1.3K,"The story takes place in the royal palace, where a conspiracy summons an evil spirit (Palcheokgwi) with a grudge against the royal family. A shaman fights against him initially to save her first love, alongside her spirit guardian.",,Shin Seul-ki,Kim In-kwon,2025,\N,['\\N'],['\\N'],tt33246471,\N,"https://m.media-amazon.com/images/M/MV5BMDc3MTA0NGYtYTQxNS00MWM0LWJjODAtMDE3ZGY4NmU1ZGMwXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Narco-Saints,7.3,"Action,Biography,Crime",5.8K,A civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to arrest the Korean drug lord who has taken control of Suriname in South America.,TV-MA,Ha Jung-woo,Hwang Jung-min,2022,\N,"['Yoon Jong-bin', 'Kwon Sung-hui']",['Yoon Jong-bin'],tt14518692,50,"https://m.media-amazon.com/images/M/MV5BYTI3ZjdmNjQtODZlOC00OGFiLTljZTMtNzc0MmQ0OWJkN2JmXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Melloga Chejil,8.2,"Comedy,Romance",2.2K,"A romantic comedy that depicts the daily lives of 30-year-old best friends Lim Jin Joo, Lee Eun Jung and Hwang Han Joo.",,Chun Woo-hee,Jeon Yeo-been,2019,2019,"['Lee Byeong-heon', 'Kim Young-Young']","['Lee Byeong-heon', 'Kim Hye-Yeong']",tt10559276,65,"https://m.media-amazon.com/images/M/MV5BM2FlNDI0N2QtMTAwYS00NWYxLTkxZmItOThmYTFjZWEzNWM4XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Art of Negotiation,7.8,Drama,660,"A merger and acquisitions specialist, Yoon Joo-No, is a legendary negotiator. His team of experts including Lawyer Oh Soon-Young and Choi Jin-Soo specialize in large corporation deals between companies.",,Lee Je-hoon,Kim Dae-myung,2025,\N,['\\N'],['Pan-suk Ahn'],tt35746806,\N,"https://m.media-amazon.com/images/M/MV5BZWVkNGRkZjgtZmQwNy00NGEwLWFiZmItZjc1YWQxNTgzYWIxXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The World of the Married,7.9,"Drama,Romance",4.2K,A story about a married couple whose betrayal of one another leads to a whirlwind of revenge.,,Kim Hee-ae,Park Hae-joon,2020,2020,['Joo Hyun'],['Mo Wan-il'],tt12042964,80,"https://m.media-amazon.com/images/M/MV5BZTk3MWViNDUtMjA2ZS00MDUzLWEyODMtNTdhZWIzNWIzZTEwXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Kiss Sixth Sense,7.2,"Comedy,Fantasy,Romance",1.3K,Ye Sol can see the future when she kisses someone. One day she accidentally kissed her boss Cha Min Hoo and saw that in the future they were lying in the same bed.,,Seo Ji-hye,Yoon Kyesang,2022,2022,['Yoo-Ri Jeon'],['Nam Ki Hoon'],tt20235634,67,"https://m.media-amazon.com/images/M/MV5BYWY4ZGRlYTEtNzlhMS00OTM3LWIwZWEtMTdlMTZjZGEwNDU5XkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Crime Scene Zero,7.3,Reality-TV,130,"Players take roles of detectives and suspects in this crime-solving game. With clues and wits, can they expose the culprit among them?",,Kim Ji-hoon,Jang Jin,\N,\N,['\\N'],['\\N'],tt36600638,\N,"https://m.media-amazon.com/images/M/MV5BN2UyYzc1NDctODk1Yi00NDAwLThlNWQtMDc5ODhmZTE0ZGJlXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
A Wonderful Sight,7.1,"Action,Comedy,Thriller",1.3K,"A reclusive ex-cop reenters the game as an insurance investigator, searching for clues in crime scenes perfectly staged by a serial killer in her midst.",,Lee Yeong-ae,Lee Yeong-ae,2021,2021,['Seong Choy'],['Jung-Heum Lee'],tt14731794,70,"https://m.media-amazon.com/images/M/MV5BNDNmOWFiYTItYjA5ZS00YTU2LWE0ZDQtNWNhOWNjMzJkY2EzXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Those Who Read the Hearts of Evil,8.0,"Crime,Drama,Mystery",2.8K,"A crime thriller drama based on a web novel of the same name that contains the field experience of Kwon Il Yong, Korea's No. 1 profiler.",,Kim Nam-gil,Jin Seon-kyu,2022,2022,"['Kwon Il-Yong', 'Go Na-Moo', 'Seol Yi-na']",['Park Bo-Ram'],tt15007172,70,"https://m.media-amazon.com/images/M/MV5BZmZmYWRmNGItMzFjOC00YWQxLTk4MWUtOTk4NDk3YzI2YmZmXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Somebody,6.1,"Crime,Drama,Thriller",3K,"When a software developer creates a dating app that a serial killer uses to find his next targets, she's drawn into a dark world of romance and murder.",TV-MA,Kang Hae-Lim,Kim Young-kwang,2022,\N,['Ji Wan Han'],['Jung Ji-woo'],tt22479848,48,"https://m.media-amazon.com/images/M/MV5BMGIxNTJmZWYtZTdjZS00M2YyLTgwYWItYzhiZmMzMGNmNWYzXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Mad for Each Other,7.9,"Comedy,Drama,Romance",3.4K,"Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.",,Jung Woo,Oh Yeon-Seo,2021,\N,['Ah Kyung'],['Tae-gon Lee'],tt14596414,30,"https://m.media-amazon.com/images/M/MV5BNzM1YmYwMjgtMDk3Ny00YjdmLTgwMjgtOWI3NTg1MGIwZDllXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Family,6.6,"Action,Comedy,Drama",518,A spy comedy drama about an NIS Black agent husband disguised as an ordinary office worker and a sweet and cruel wife dreaming of a perfect family.,,Jang Hyuk,Jang Na-ra,2023,2023,['Jung Yoo-seon'],['Jang Jeong-do'],tt26693752,\N,"https://m.media-amazon.com/images/M/MV5BM2RiNjFkYWQtYjMwOS00YTAxLTlhY2UtZDBiOWJkNDg4NTdiXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
